run_id,model,signal,n_windows,n_violated,n_missing_signal,auroc,auroc_lead3
t3_apa_seed3,dsqwen-14b,z_m,212,0,0,,
t3_apa_seed3,dsqwen-14b,queue_len,212,0,0,,
t3_apa_seed3,dsqwen-14b,decode_tps,212,0,0,,
t3_apa_seed3,dsqwen-14b,prefill_tps,212,0,0,,
t3_apa_seed3,dsqwen-7b,z_m,212,150,0,0.99,0.987957181088314
t3_apa_seed3,dsqwen-7b,queue_len,212,150,0,0.9891935483870967,0.9813224799286352
t3_apa_seed3,dsqwen-7b,decode_tps,212,150,0,0.9156451612903226,0.8912243532560215
t3_apa_seed3,dsqwen-7b,prefill_tps,212,150,0,0.5383870967741935,0.5428189116859946
t3_tre_seed2,dsllama-8b,z_m,212,0,0,,
t3_tre_seed2,dsllama-8b,queue_len,212,0,0,,
t3_tre_seed2,dsllama-8b,decode_tps,212,0,0,,
t3_tre_seed2,dsllama-8b,prefill_tps,212,0,0,,
t3_tre_seed2,dsqwen-14b,z_m,212,6,0,0.6067961165048543,0.6219211822660099
t3_tre_seed2,dsqwen-14b,queue_len,212,6,0,0.5315533980582524,0.6560960591133005
t3_tre_seed2,dsqwen-14b,decode_tps,212,6,0,0.5343851132686084,0.5886699507389163
t3_tre_seed2,dsqwen-14b,prefill_tps,212,6,0,0.5343851132686084,0.5886699507389163
t3_tre_seed2,dsqwen-7b,z_m,212,36,0,0.8097380050505051,0.7339412084921066
t3_tre_seed2,dsqwen-7b,queue_len,212,36,0,0.7805397727272727,0.7161812738160044
t3_tre_seed2,dsqwen-7b,decode_tps,212,36,0,0.7485795454545454,0.706314643440392
t3_tre_seed2,dsqwen-7b,prefill_tps,212,36,0,0.6654829545454546,0.5632825258573761
t3_tre_seed3,dsllama-8b,z_m,212,12,0,0.6235416666666667,0.6602564102564102
t3_tre_seed3,dsllama-8b,queue_len,212,12,0,0.43375,0.5314102564102564
t3_tre_seed3,dsllama-8b,decode_tps,212,12,0,0.36375,0.3873397435897436
t3_tre_seed3,dsllama-8b,prefill_tps,212,12,0,0.36375,0.3873397435897436
t3_tre_seed3,dsqwen-14b,z_m,212,0,0,,
t3_tre_seed3,dsqwen-14b,queue_len,212,0,0,,
t3_tre_seed3,dsqwen-14b,decode_tps,212,0,0,,
t3_tre_seed3,dsqwen-14b,prefill_tps,212,0,0,,
t3_tre_seed3,dsqwen-7b,z_m,212,22,0,0.9114832535885168,0.9237006237006237
t3_tre_seed3,dsqwen-7b,queue_len,212,22,0,0.9260765550239235,0.9185031185031185
t3_tre_seed3,dsqwen-7b,decode_tps,212,22,0,0.886244019138756,0.8669438669438669
t3_tre_seed3,dsqwen-7b,prefill_tps,212,22,0,0.5782296650717703,0.508939708939709
t6_apa_seed2,dsllama-8b,z_m,167,0,0,,
t6_apa_seed2,dsllama-8b,queue_len,167,0,0,,
t6_apa_seed2,dsllama-8b,decode_tps,167,0,0,,
t6_apa_seed2,dsllama-8b,prefill_tps,167,0,0,,
t6_apa_seed2,dsqwen-14b,z_m,167,6,0,0.6765010351966874,0.7879746835443038
t6_apa_seed2,dsqwen-14b,queue_len,167,6,0,0.7851966873706004,0.7650316455696202
t6_apa_seed2,dsqwen-14b,decode_tps,167,6,0,0.7562111801242236,0.7191455696202531
t6_apa_seed2,dsqwen-14b,prefill_tps,167,6,0,0.7562111801242236,0.7191455696202531
t6_apa_seed2,dsqwen-7b,z_m,167,0,0,,
t6_apa_seed2,dsqwen-7b,queue_len,167,0,0,,
t6_apa_seed2,dsqwen-7b,decode_tps,167,0,0,,
t6_apa_seed2,dsqwen-7b,prefill_tps,167,0,0,,
t6_apa_seed3,dsllama-8b,z_m,167,0,0,,
t6_apa_seed3,dsllama-8b,queue_len,167,0,0,,
t6_apa_seed3,dsllama-8b,decode_tps,167,0,0,,
t6_apa_seed3,dsllama-8b,prefill_tps,167,0,0,,
t6_apa_seed3,dsqwen-14b,z_m,167,6,0,0.9228778467908902,0.7072784810126582
t6_apa_seed3,dsqwen-14b,queue_len,167,6,0,0.7168737060041408,0.5712025316455697
t6_apa_seed3,dsqwen-14b,decode_tps,167,6,0,0.6190476190476191,0.44145569620253167
t6_apa_seed3,dsqwen-14b,prefill_tps,167,6,0,0.6190476190476191,0.44145569620253167
t6_apa_seed3,dsqwen-7b,z_m,168,6,0,0.8945473251028807,0.7468553459119497
t6_apa_seed3,dsqwen-7b,queue_len,168,6,0,0.9284979423868313,0.8789308176100629
t6_apa_seed3,dsqwen-7b,decode_tps,168,6,0,0.8549382716049383,0.7716194968553459
t6_apa_seed3,dsqwen-7b,prefill_tps,168,6,0,0.8549382716049383,0.7716194968553459
t6_tre_seed2,dsllama-8b,z_m,167,6,0,0.2318840579710145,0.17721518987341772
t6_tre_seed2,dsllama-8b,queue_len,167,6,0,0.17650103519668736,0.1617879746835443
t6_tre_seed2,dsllama-8b,decode_tps,167,6,0,0.13457556935817805,0.1574367088607595
t6_tre_seed2,dsllama-8b,prefill_tps,167,6,0,0.13457556935817805,0.1574367088607595
t6_tre_seed2,dsqwen-14b,z_m,167,0,0,,
t6_tre_seed2,dsqwen-14b,queue_len,167,0,0,,
t6_tre_seed2,dsqwen-14b,decode_tps,167,0,0,,
t6_tre_seed2,dsqwen-14b,prefill_tps,167,0,0,,
t6_tre_seed2,dsqwen-7b,z_m,167,23,0,0.5904287439613527,0.5742753623188406
t6_tre_seed2,dsqwen-7b,queue_len,167,23,0,0.5688405797101449,0.609083850931677
t6_tre_seed2,dsqwen-7b,decode_tps,167,23,0,0.5822765700483091,0.6277173913043478
t6_tre_seed2,dsqwen-7b,prefill_tps,167,23,0,0.5822765700483091,0.6277173913043478
t6_tre_seed3,dsllama-8b,z_m,167,6,0,0.9591097308488613,0.9264240506329114
t6_tre_seed3,dsllama-8b,queue_len,167,6,0,0.7644927536231884,0.6700949367088608
t6_tre_seed3,dsllama-8b,decode_tps,167,6,0,0.5967908902691511,0.4877373417721519
t6_tre_seed3,dsllama-8b,prefill_tps,167,6,0,0.5967908902691511,0.4877373417721519
t6_tre_seed3,dsqwen-14b,z_m,167,6,0,0.34316770186335405,0.3694620253164557
t6_tre_seed3,dsqwen-14b,queue_len,167,6,0,0.7908902691511387,0.7420886075949367
t6_tre_seed3,dsqwen-14b,decode_tps,167,6,0,0.8555900621118012,0.7978639240506329
t6_tre_seed3,dsqwen-14b,prefill_tps,167,6,0,0.8555900621118012,0.7978639240506329
t6_tre_seed3,dsqwen-7b,z_m,168,0,0,,
t6_tre_seed3,dsqwen-7b,queue_len,168,0,0,,
t6_tre_seed3,dsqwen-7b,decode_tps,168,0,0,,
t6_tre_seed3,dsqwen-7b,prefill_tps,168,0,0,,
__macro__,__all__,z_m,23,,,0.7864087664239249,0.7596350196740065
__macro__,__all__,queue_len,23,,,0.7807462544187019,0.7677216825017874
__macro__,__all__,decode_tps,23,,,0.7309399971408105,0.714174538593164
__macro__,__all__,prefill_tps,23,,,0.69397597063805,0.6763745326316155
