run_id,model,signal,n_windows,n_violated,n_missing_signal,auroc,auroc_lead3
t3_tre_seed1,dsllama-8b,decode_tps,212,0,0,,
t3_tre_seed1,dsllama-8b,prefill_tps,212,0,0,,
t3_tre_seed1,dsqwen-14b,z_m,212,12,0,0.743125,0.7951923076923076
t3_tre_seed1,dsqwen-14b,queue_len,212,12,0,0.7014583333333333,0.6458333333333334
t3_tre_seed1,dsqwen-14b,decode_tps,212,12,0,0.7254166666666667,0.6150641025641026
t3_tre_seed1,dsqwen-14b,prefill_tps,212,12,0,0.7254166666666667,0.6150641025641026
t3_tre_seed1,dsqwen-7b,z_m,212,17,0,0.9289592760180996,0.9030989824236818
t3_tre_seed1,dsqwen-7b,queue_len,212,17,0,0.8177978883861237,0.7552035152636448
t3_tre_seed1,dsqwen-7b,decode_tps,212,17,0,0.7662141779788839,0.7540471785383904
t3_tre_seed1,dsqwen-7b,prefill_tps,212,17,0,0.7036199095022625,0.5811748381128584
t4_apa_seed1,dsllama-8b,z_m,142,9,0,0.8304093567251462,0.5958041958041959
t4_apa_seed1,dsllama-8b,queue_len,142,9,0,0.8893065998329156,0.6465034965034965
t4_apa_seed1,dsllama-8b,decode_tps,142,9,0,0.47076023391812866,0.343006993006993
t4_apa_seed1,dsllama-8b,prefill_tps,142,9,0,0.4703425229741019,0.34265734265734266
t4_apa_seed1,dsqwen-14b,z_m,142,0,0,,
t4_apa_seed1,dsqwen-14b,queue_len,142,0,0,,
t4_apa_seed1,dsqwen-14b,decode_tps,142,0,0,,
t4_apa_seed1,dsqwen-14b,prefill_tps,142,0,0,,
t4_apa_seed1,dsqwen-7b,z_m,143,49,0,0.8643074250976986,0.835016835016835
t4_apa_seed1,dsqwen-7b,queue_len,143,49,0,0.8638732088580113,0.8236531986531986
t4_apa_seed1,dsqwen-7b,decode_tps,143,49,0,0.6952887537993921,0.6643518518518519
t4_apa_seed1,dsqwen-7b,prefill_tps,143,49,0,0.6950716456795484,0.6641414141414141
t4_tre_seed1,dsllama-8b,z_m,142,9,0,0.9553049289891395,0.83006993006993
t4_tre_seed1,dsllama-8b,queue_len,142,9,0,0.9745196324143692,0.862937062937063
t4_tre_seed1,dsllama-8b,decode_tps,142,9,0,0.3203842940685046,0.26328671328671327
t4_tre_seed1,dsllama-8b,prefill_tps,142,9,0,0.3203842940685046,0.26328671328671327
t4_tre_seed1,dsqwen-14b,z_m,142,0,0,,
t4_tre_seed1,dsqwen-14b,queue_len,142,0,0,,
t4_tre_seed1,dsqwen-14b,decode_tps,142,0,0,,
t4_tre_seed1,dsqwen-14b,prefill_tps,142,0,0,,
t4_tre_seed1,dsqwen-7b,z_m,142,36,0,0.9432651991614256,0.9745049504950495
t4_tre_seed1,dsqwen-7b,queue_len,142,36,0,0.977856394129979,0.9587871287128713
t4_tre_seed1,dsqwen-7b,decode_tps,142,36,0,0.9654088050314465,0.9378712871287128
t4_tre_seed1,dsqwen-7b,prefill_tps,142,36,0,0.9654088050314465,0.9378712871287128
t5_apa_seed1,dsllama-8b,z_m,174,0,0,,
t5_apa_seed1,dsllama-8b,queue_len,174,0,0,,
t5_apa_seed1,dsllama-8b,decode_tps,174,0,0,,
t5_apa_seed1,dsllama-8b,prefill_tps,174,0,0,,
t5_apa_seed1,dsqwen-14b,z_m,175,145,0,1.0,0.9978584026203073
