1783671699 1 1 1
1783671709 1 1 1
1783671719 1 1 1
1783671729 1 1 1
1783671739 1 1 1
1783671749 1 1 1
1783671759 1 1 1
1783671769 1 2 1
1783671779 1 3 1
1783671789 1 3 1
1783671799 1 3 1
1783671809 1 3 1
1783671819 1 3 1
1783671829 1 3 1
1783671839 1 3 1
1783671849 1 3 1
1783671859 1 3 1
1783671870 1 3 1
1783671880 1 3 1
1783671890 2 3 1
1783671900 3 3 1
1783671910 3 3 1
1783671920 3 3 1
1783671930 3 3 1
1783671940 3 3 1
1783671950 3 3 1
1783671960 3 3 1
1783671970 3 3 1
1783671980 3 3 1
1783671990 3 3 1
1783672000 3 3 1
1783672010 3 3 1
1783672020 3 3 1
1783672030 3 3 1
1783672040 3 3 1
1783672051 3 3 1
1783672061 3 3 1
1783672071 3 3 1
1783672081 3 3 1
1783672091 3 3 1
1783672101 3 3 1
1783672111 3 3 1
1783672121 3 3 1
1783672131 3 3 1
1783672141 3 3 1
1783672151 3 3 1
1783672161 3 3 1
1783672171 3 3 1
1783672181 3 3 1
1783672191 3 3 1
1783672201 3 3 1
1783672211 3 3 1
1783672221 3 3 1
1783672231 3 3 1
1783672242 3 3 1
1783672252 3 3 1
1783672262 3 3 1
1783672272 3 3 1
1783672282 3 3 1
1783672292 3 3 1
