ts,model,action,serve_id
2026-07-11T20:52:18.761926Z,dsqwen-14b,wake,dsqwen-14b-nscc-ds-4a100-node10-gpu-0-1-784d8db45f-wzc9f
2026-07-11T20:55:40.804275Z,dsqwen-14b,wake,dsqwen-14b-nscc-ds-4a100-node10-gpu-2-3-67d756bff7-82d52
