2026/07/10 17:11:23.063, 0, 37892
2026/07/10 17:11:23.063, 1, 37932
2026/07/10 17:11:23.063, 2, 37382
2026/07/10 17:11:23.063, 3, 37382
2026/07/10 17:11:24.063, 0, 37892
2026/07/10 17:11:24.063, 1, 37932
2026/07/10 17:11:24.063, 2, 37382
2026/07/10 17:11:24.063, 3, 37382
2026/07/10 17:11:25.063, 0, 37892
2026/07/10 17:11:25.063, 1, 4070
2026/07/10 17:11:25.063, 2, 37382
2026/07/10 17:11:25.063, 3, 37382
2026/07/10 17:11:26.063, 0, 37892
2026/07/10 17:11:26.064, 1, 4070
2026/07/10 17:11:26.064, 2, 37382
2026/07/10 17:11:26.064, 3, 37382
2026/07/10 17:11:27.064, 0, 37892
2026/07/10 17:11:27.064, 1, 16658
2026/07/10 17:11:27.064, 2, 37382
2026/07/10 17:11:27.064, 3, 37382
2026/07/10 17:11:28.064, 0, 37892
2026/07/10 17:11:28.064, 1, 37932
2026/07/10 17:11:28.064, 2, 37382
2026/07/10 17:11:28.064, 3, 37382
2026/07/10 17:11:29.064, 0, 37892
2026/07/10 17:11:29.064, 1, 26816
2026/07/10 17:11:29.064, 2, 37382
2026/07/10 17:11:29.064, 3, 37382
2026/07/10 17:11:30.064, 0, 37892
2026/07/10 17:11:30.064, 1, 4070
2026/07/10 17:11:30.064, 2, 37382
2026/07/10 17:11:30.065, 3, 37382
2026/07/10 17:11:31.065, 0, 37892
2026/07/10 17:11:31.065, 1, 6034
2026/07/10 17:11:31.065, 2, 37382
2026/07/10 17:11:31.065, 3, 37382
2026/07/10 17:11:32.065, 0, 37892
2026/07/10 17:11:32.065, 1, 37932
2026/07/10 17:11:32.065, 2, 37382
2026/07/10 17:11:32.065, 3, 37382
2026/07/10 17:11:33.065, 0, 37892
2026/07/10 17:11:33.065, 1, 36752
2026/07/10 17:11:33.065, 2, 37382
2026/07/10 17:11:33.065, 3, 37382
2026/07/10 17:11:34.065, 0, 37892
2026/07/10 17:11:34.065, 1, 4070
2026/07/10 17:11:34.065, 2, 37382
2026/07/10 17:11:34.065, 3, 37382
2026/07/10 17:11:35.066, 0, 37892
