run_id,model,signal,n_windows,n_violated,n_missing_signal,auroc,auroc_lead3
t6_apa_seed1,dsqwen-14b,z_m,167,0,0,,
t6_apa_seed1,dsqwen-14b,queue_len,167,0,0,,
t6_apa_seed1,dsqwen-14b,decode_tps,167,0,0,,
t6_apa_seed1,dsqwen-14b,prefill_tps,167,0,0,,
t6_apa_seed1,dsqwen-7b,z_m,167,16,0,0.8340231788079471,0.9147869674185464
t6_apa_seed1,dsqwen-7b,queue_len,167,16,0,0.4449503311258278,0.525420694593627
t6_apa_seed1,dsqwen-7b,decode_tps,167,16,0,0.4108029801324503,0.42857142857142855
t6_apa_seed1,dsqwen-7b,prefill_tps,167,16,0,0.4108029801324503,0.42857142857142855
t7_apa_seed1,dsllama-8b,z_m,218,100,0,0.8423728813559322,0.8430173292558614
t7_apa_seed1,dsllama-8b,queue_len,218,100,0,0.9074152542372881,0.8987852531430514
t7_apa_seed1,dsllama-8b,decode_tps,218,100,0,0.6794915254237288,0.6887529731566429
t7_apa_seed1,dsllama-8b,prefill_tps,218,100,0,0.6779237288135593,0.6874787631668365
t7_apa_seed1,dsqwen-14b,z_m,219,0,0,,
t7_apa_seed1,dsqwen-14b,queue_len,219,0,0,,
t7_apa_seed1,dsqwen-14b,decode_tps,219,0,0,,
t7_apa_seed1,dsqwen-14b,prefill_tps,219,0,0,,
t7_apa_seed1,dsqwen-7b,z_m,218,114,0,0.9772267206477733,0.9499229583975347
t7_apa_seed1,dsqwen-7b,queue_len,218,114,0,0.9776906207827261,0.9473121040917651
t7_apa_seed1,dsqwen-7b,decode_tps,218,114,0,0.8930921052631579,0.8539205615476801
t7_apa_seed1,dsqwen-7b,prefill_tps,218,114,0,0.8930921052631579,0.8539205615476801
t8_apa_seed1,dsllama-8b,z_m,219,142,0,0.8283336381927932,0.7630801687763713
t8_apa_seed1,dsllama-8b,queue_len,219,142,0,0.8483171757819645,0.7758966244725738
t8_apa_seed1,dsllama-8b,decode_tps,219,142,0,0.7845253338211085,0.7399789029535865
t8_apa_seed1,dsllama-8b,prefill_tps,219,142,0,0.79449423815621,0.740295358649789
t8_apa_seed1,dsqwen-14b,z_m,218,0,0,,
t8_apa_seed1,dsqwen-14b,queue_len,218,0,0,,
t8_apa_seed1,dsqwen-14b,decode_tps,218,0,0,,
t8_apa_seed1,dsqwen-14b,prefill_tps,218,0,0,,
t8_apa_seed1,dsqwen-7b,z_m,218,130,0,0.9012674825174826,0.8604302832244008
t8_apa_seed1,dsqwen-7b,queue_len,218,130,0,0.9443618881118881,0.9238834422657952
t8_apa_seed1,dsqwen-7b,decode_tps,218,130,0,0.7458916083916084,0.6957153231663036
t8_apa_seed1,dsqwen-7b,prefill_tps,218,130,0,0.7786276223776224,0.7308006535947712
t9_apa_seed1,dsllama-8b,z_m,218,40,0,0.8767556179775281,0.8623279098873592
t9_apa_seed1,dsllama-8b,queue_len,218,40,0,0.9265449438202247,0.9153942428035043
t9_apa_seed1,dsllama-8b,decode_tps,218,40,0,0.8214185393258427,0.8077596996245306
t9_apa_seed1,dsllama-8b,prefill_tps,218,40,0,0.8155196629213484,0.7957446808510639
t9_apa_seed1,dsqwen-14b,z_m,218,0,0,,
t9_apa_seed1,dsqwen-14b,queue_len,218,0,0,,
t9_apa_seed1,dsqwen-14b,decode_tps,218,0,0,,
t9_apa_seed1,dsqwen-14b,prefill_tps,218,0,0,,
t9_apa_seed1,dsqwen-7b,z_m,218,0,0,,
t9_apa_seed1,dsqwen-7b,queue_len,218,0,0,,
t9_apa_seed1,dsqwen-7b,decode_tps,218,0,0,,
t9_apa_seed1,dsqwen-7b,prefill_tps,218,0,0,,
__macro__,__all__,z_m,17,,,0.8226940017033344,0.8024610601199736
__macro__,__all__,queue_len,17,,,0.8286323082595974,0.8113436548236274
__macro__,__all__,decode_tps,17,,,0.7209889466381025,0.69360433684919
__macro__,__all__,prefill_tps,17,,,0.7180618534087909,0.6946547161333094
