NAMESPACE              NAME                                                          READY   STATUS                   RESTARTS        AGE     IP               NODE                   NOMINATED NODE   READINESS GATES
gpu-operator           gpu-operator-node-feature-discovery-worker-z26nz              1/1     Running                  32 (69d ago)    291d    10.244.3.144     nscc-ds-4a100-node9    <none>           <none>
gpu-operator           nvidia-container-toolkit-daemonset-6llc8                      1/1     Running                  1 (86d ago)     86d     10.244.1.15      cloud                  <none>           <none>
gpu-operator           nvidia-container-toolkit-daemonset-rfn99                      1/1     Running                  0               247d    10.244.3.154     nscc-ds-4a100-node9    <none>           <none>
gpu-operator           nvidia-container-toolkit-daemonset-vltz7                      1/1     Running                  1 (125d ago)    247d    10.244.0.116     nscc-ds-4a100-node10   <none>           <none>
gpu-operator           nvidia-cuda-validator-m8z2s                                   0/1     Completed                0               125d    <none>           nscc-ds-4a100-node10   <none>           <none>
gpu-operator           nvidia-dcgm-exporter-5qrl7                                    1/1     Running                  0               247d    10.244.3.151     nscc-ds-4a100-node9    <none>           <none>
gpu-operator           nvidia-dcgm-exporter-9bb72                                    1/1     Running                  1 (86d ago)     86d     10.244.1.14      cloud                  <none>           <none>
gpu-operator           nvidia-dcgm-exporter-p2qzb                                    1/1     Running                  1 (125d ago)    247d    10.244.0.103     nscc-ds-4a100-node10   <none>           <none>
gpu-operator           nvidia-device-plugin-daemonset-88gl2                          1/1     Running                  2 (125d ago)    247d    10.244.0.106     nscc-ds-4a100-node10   <none>           <none>
gpu-operator           nvidia-device-plugin-daemonset-p8fvx                          1/1     Running                  2 (247d ago)    247d    10.244.3.152     nscc-ds-4a100-node9    <none>           <none>
gpu-operator           nvidia-device-plugin-daemonset-qf8qf                          1/1     Running                  2 (86d ago)     86d     10.244.1.16      cloud                  <none>           <none>
gpu-operator           nvidia-mig-manager-77qvr                                      1/1     Running                  1 (86d ago)     86d     10.244.1.17      cloud                  <none>           <none>
gpu-operator           nvidia-mig-manager-gtcw7                                      1/1     Running                  1 (125d ago)    247d    10.244.0.99      nscc-ds-4a100-node10   <none>           <none>
gpu-operator           nvidia-mig-manager-mwh7z                                      1/1     Running                  0               247d    10.244.3.156     nscc-ds-4a100-node9    <none>           <none>
