ts,model,action,serve_id
2026-07-10T14:05:29.397431Z,dsqwen-14b,wake,dsqwen-14b-nscc-ds-4a100-node10-gpu-0-1-784d8db45f-wzc9f
2026-07-10T14:05:38.899709Z,dsqwen-14b,wake,dsqwen-14b-nscc-ds-4a100-node10-gpu-2-3-67d756bff7-82d52
