model,trim_ramp_windows,window_end_ms,n_requests,violated,ttft_p95,tpot_p95,e2e_p95,errors
dsllama-8b,1,1783814207064,162,False,52.1550253033638,15.52952872955893,2011.309690773487,0
dsllama-8b,1,1783814212064,166,False,52.33699083328247,15.976148034174612,2073.5172256827354,0
dsllama-8b,1,1783814217064,164,False,49.71649497747421,15.976148034174612,2073.5172256827354,0
dsllama-8b,1,1783814222064,169,False,50.89026689529419,15.976148034174612,2073.5172256827354,0
dsllama-8b,1,1783814227064,175,False,52.41698771715164,15.976148034174612,2073.5172256827354,0
dsllama-8b,1,1783814232064,169,False,54.17270213365555,15.976148034174612,2073.5172256827354,0
dsllama-8b,1,1783814237064,163,False,52.41698771715164,15.976148034174612,2073.5172256827354,0
dsllama-8b,1,1783814242064,153,False,52.41698771715164,15.277502984981837,1982.1038246154785,0
dsllama-8b,1,1783814247064,166,False,52.01534926891327,15.54915561216084,2010.8731016516685,0
dsllama-8b,1,1783814252064,165,False,52.01534926891327,15.54915561216084,2010.8731016516685,0
dsllama-8b,1,1783814257064,166,False,50.56575685739517,15.705920345201267,2030.8476313948631,0
dsllama-8b,1,1783814262064,171,False,50.02734065055847,15.778663179536505,2049.0061193704605,0
dsllama-8b,1,1783814267064,180,False,51.31896585226059,15.778663179536505,2049.0061193704605,0
dsllama-8b,1,1783814272064,174,False,51.80317163467407,15.778663179536505,2049.0061193704605,0
dsllama-8b,1,1783814277064,168,False,51.899999380111694,15.778663179536505,2049.0061193704605,0
dsllama-8b,1,1783814282064,173,False,53.43560874462128,15.829322140986525,2057.453528046608,0
dsllama-8b,1,1783814287064,166,False,53.787440061569214,15.829322140986525,2057.6901137828827,0
dsllama-8b,1,1783814292064,170,False,54.132699966430664,16.361683372437486,2121.511824429035,0
dsllama-8b,1,1783814297064,182,False,55.13104051351547,16.3678770928871,2120.7177564501762,0
dsllama-8b,1,1783814302064,204,False,57.18415975570679,16.40940058653749,2127.8830841183662,0
dsllama-8b,1,1783814307064,206,False,62.8921315073967,16.511497711102795,2148.6112475395203,0
dsllama-8b,1,1783814312064,202,False,66.46909564733505,16.511497711102795,2148.6112475395203,0
dsllama-8b,1,1783814317064,208,False,66.7293593287468,16.511497711102795,2148.6112475395203,0
dsllama-8b,1,1783814322064,197,False,68.09552758932114,16.50910443208349,2150.689497590065,0
dsllama-8b,1,1783814327064,184,False,68.20240616798401,16.50910443208349,2150.689497590065,0
dsllama-8b,1,1783814332064,167,False,68.899504840374,16.511497711102795,2157.973997294903,0
dsllama-8b,1,1783814337064,177,False,71.17081433534622,16.807647847284482,2188.2354244589806,0
dsllama-8b,1,1783814342064,177,False,72.77663052082062,16.807647847284482,2188.2354244589806,0
dsllama-8b,1,1783814347064,175,False,77.17031985521317,16.807647847284482,2188.2354244589806,0
dsllama-8b,1,1783814352064,194,False,78.30654084682465,16.796707754998696,2188.2354244589806,0
dsllama-8b,1,1783814357064,219,False,79.13483679294586,17.232535568278607,2240.828163921833,0
dsllama-8b,1,1783814362064,226,False,79.13462072610855,17.232071520305993,2238.039582967758,0
dsllama-8b,1,1783814367064,213,False,80.33744245767593,17.232535568278607,2240.828163921833,0
dsllama-8b,1,1783814372064,220,False,78.30654084682465,17.232535568278607,2240.828163921833,0
dsllama-8b,1,1783814377064,227,False,81.33111894130707,17.232071520305993,2238.039582967758,0
dsllama-8b,1,1783814382064,215,False,79.13483679294586,17.232535568278607,2240.828163921833,0
dsllama-8b,1,1783814387064,197,False,77.43895798921585,16.3129964095401,2135.221041738987,0
dsllama-8b,1,1783814392064,199,False,79.51369881629944,16.3129964095401,2135.221041738987,0
dsllama-8b,1,1783814397064,205,False,79.51369881629944,16.493359829966476,2150.6285592913628,0
