model,trim_ramp_windows,window_end_ms,n_requests,violated,ttft_p95,tpot_p95,e2e_p95,errors
dsllama-8b,1,1783824856078,155,False,52.36823856830597,15.378350875978395,1991.6526600718498,0
dsllama-8b,1,1783824861078,171,False,52.31484770774841,15.404705339529382,1998.2207342982292,0
dsllama-8b,1,1783824866078,166,False,52.547186613082886,15.404705339529382,1998.2207342982292,0
dsllama-8b,1,1783824871078,173,False,52.59303003549576,15.404705339529382,1998.2207342982292,0
dsllama-8b,1,1783824876078,170,False,52.31484770774841,15.326792916913671,1983.365848660469,0
dsllama-8b,1,1783824881078,165,False,51.502637565135956,15.348797942709735,1985.461637377739,0
dsllama-8b,1,1783824886078,173,False,50.66841095685959,16.110020711666017,2083.7068781256676,0
dsllama-8b,1,1783824891078,167,False,51.96911096572876,16.110020711666017,2083.7068781256676,0
dsllama-8b,1,1783824896078,169,False,51.96911096572876,16.110020711666017,2083.7068781256676,0
dsllama-8b,1,1783824901078,164,False,51.96911096572876,16.110020711666017,2083.7068781256676,0
dsllama-8b,1,1783824906078,161,False,52.06160247325897,16.110020711666017,2083.7068781256676,0
dsllama-8b,1,1783824911078,171,False,52.79982089996338,16.18633448608278,2096.050664782524,0
dsllama-8b,1,1783824916078,169,False,53.55846881866455,16.081289630236586,2081.7847549915314,0
dsllama-8b,1,1783824921078,166,False,53.55846881866455,16.081289630236586,2081.7847549915314,0
dsllama-8b,1,1783824926078,162,False,53.55846881866455,16.081289630236586,2081.7847549915314,0
dsllama-8b,1,1783824931078,158,False,53.55846881866455,16.09494372850328,2084.5998898148537,0
dsllama-8b,1,1783824936078,161,False,53.22355777025223,16.081289630236586,2081.7847549915314,0
dsllama-8b,1,1783824941078,151,False,53.68264019489288,15.39790307677637,1999.1184994578362,0
dsllama-8b,1,1783824946078,150,False,82.89369940757751,15.750357485192968,2048.7659871578217,0
dsllama-8b,1,1783824951078,159,False,126.81055814027786,16.80358716352718,2233.6216419935226,0
dsllama-8b,1,1783824956078,168,False,149.0383818745613,16.79287017799738,2233.6216419935226,0
dsllama-8b,1,1783824961078,172,False,149.0383818745613,16.79287017799738,2233.6216419935226,0
