model,trim_ramp_windows,window_end_ms,n_requests,violated,ttft_p95,tpot_p95,e2e_p95,errors
dsllama-8b,1,1783704324323,110,False,330.6548744440079,38.218141812035164,4659.354701638222,0
dsllama-8b,1,1783704329323,107,False,349.5996370911598,36.59732345522953,4595.355838537216,0
dsllama-8b,1,1783704334323,107,False,321.2538883090019,35.978216834428935,4595.355838537216,0
dsllama-8b,1,1783704339323,93,False,258.967362344265,31.839827757056167,4105.394601821899,0
dsllama-8b,1,1783704344323,106,True,532.7529236674309,44.295631763007904,5851.328678429127,0
dsllama-8b,1,1783704349323,111,True,532.7529236674309,44.295631763007904,5851.328678429127,0
dsllama-8b,1,1783704354323,114,True,532.7529236674309,44.295631763007904,5851.328678429127,0
dsllama-8b,1,1783704359323,114,True,532.7529236674309,44.295631763007904,5851.328678429127,0
dsllama-8b,1,1783704364323,121,True,511.2438276410103,44.25774703896235,5832.712434232235,0
dsllama-8b,1,1783704369323,131,True,511.2438276410103,44.25774703896235,5832.712434232235,0
dsllama-8b,1,1783704374323,115,False,357.54524916410446,39.078015249130154,4949.394211173058,0
dsllama-8b,1,1783704379323,114,False,321.7354789376259,61.43324790347336,7436.07547134161,0
dsllama-8b,1,1783704384323,132,True,379.0719285607338,90.72348890842589,10590.862594544888,0
dsllama-8b,1,1783704389323,145,True,466.6089788079262,90.55896993495722,10579.122953116894,0
dsllama-8b,1,1783704394323,143,True,479.9429401755333,90.55896993495722,10579.122953116894,0
dsllama-8b,1,1783704399323,151,True,487.22055554389954,90.55896993495722,10579.122953116894,0
dsllama-8b,1,1783704404323,170,True,536.5086495876312,90.46840568823097,10492.848806083202,0
dsllama-8b,1,1783704409323,174,True,536.5086495876312,90.46840568823097,10492.848806083202,0
dsllama-8b,1,1783704414323,167,True,528.3570662140846,72.9640185967222,8392.593137919903,0
dsllama-8b,1,1783704419323,163,False,472.40953147411346,61.42382911945644,7350.759744644165,0
dsllama-8b,1,1783704424323,166,True,500.3846362233162,58.224518048135856,6864.264465868473,0
dsllama-8b,1,1783704429323,167,True,536.5086495876312,51.803297107726074,6215.895392000675,0
