trace,arm,window_ts,model,node9_awake,node10_awake
t1,apa,2026-07-09T19:25:32Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:25:32Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:25:48Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:25:48Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:25:48Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:26:03Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:26:03Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:26:03Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:26:19Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:26:19Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:26:19Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:26:35Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:26:35Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:26:35Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:26:50Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:26:50Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:26:50Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:27:06Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:27:06Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:27:06Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:27:22Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:27:22Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:27:22Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:27:37Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:27:37Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:27:37Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:27:53Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:27:53Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:27:53Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:28:09Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:28:09Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:28:09Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:28:25Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:28:25Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:28:25Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:28:40Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:28:40Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:28:40Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:28:56Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:28:56Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:28:56Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:29:12Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:29:12Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:29:12Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:29:27Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:29:27Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:29:27Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:29:43Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:29:43Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:29:43Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:29:59Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:29:59Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:29:59Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:30:14Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:30:14Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:30:14Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:30:30Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:30:30Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:30:30Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:30:46Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:30:46Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:30:46Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:31:02Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:31:02Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:31:02Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:31:17Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:31:17Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:31:17Z,dsqwen-14b,0,1
t1,apa,2026-07-09T19:31:33Z,dsllama-8b,0,1
t1,apa,2026-07-09T19:31:33Z,dsqwen-7b,0,1
t1,apa,2026-07-09T19:31:33Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:18:27Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:18:27Z,dsqwen-7b,0,1
t1,tre,2026-07-09T17:18:27Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:18:42Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:18:42Z,dsqwen-7b,0,1
t1,tre,2026-07-09T17:18:42Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:18:58Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:18:58Z,dsqwen-7b,0,1
t1,tre,2026-07-09T17:18:58Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:19:14Z,dsllama-8b,1,0
