timestamp,serve_id,model,node,gpu_ids,state,source
2026-07-08T21:54:39.987241750Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,awake,vllm_wake_complete
2026-07-08T22:02:06.661141968Z,dsllama-8b-nscc-ds-4a100-node9-gpu-3-689cdb87dd-dn7rq,dsllama-8b,nscc-ds-4a100-node9,3,awake,vllm_wake_complete
2026-07-08T22:03:23.191378891Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-3-5bdcc7896f-7sn2s,dsqwen-7b,nscc-ds-4a100-node10,3,sleeping,vllm_sleep_complete
2026-07-08T22:05:49.830821847Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,sleeping,vllm_sleep_complete
2026-07-08T22:05:51.478692103Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,sleeping,vllm_sleep_complete
2026-07-08T22:05:55.019825563Z,dsllama-8b-nscc-ds-4a100-node9-gpu-3-689cdb87dd-dn7rq,dsllama-8b,nscc-ds-4a100-node9,3,sleeping,vllm_sleep_complete
2026-07-08T22:06:36.156155410Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-3-5bdcc7896f-7sn2s,dsqwen-7b,nscc-ds-4a100-node10,3,awake,vllm_wake_complete
2026-07-08T22:09:08.977178766Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,awake,vllm_wake_complete
2026-07-08T22:09:15.220478844Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,awake,vllm_wake_complete
2026-07-08T22:23:19.311450633Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-3-5bdcc7896f-7sn2s,dsqwen-7b,nscc-ds-4a100-node10,3,sleeping,vllm_sleep_complete
2026-07-08T22:25:42.086329950Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,sleeping,vllm_sleep_complete
2026-07-08T22:25:47.609262361Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,sleeping,vllm_sleep_complete
2026-07-08T22:26:43.198781267Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-3-5bdcc7896f-7sn2s,dsqwen-7b,nscc-ds-4a100-node10,3,awake,vllm_wake_complete
2026-07-08T22:29:19.796985630Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,awake,vllm_wake_complete
2026-07-08T22:29:26.517973841Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,awake,vllm_wake_complete
2026-07-08T22:42:41.948014237Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-3-5bdcc7896f-7sn2s,dsqwen-7b,nscc-ds-4a100-node10,3,sleeping,vllm_sleep_complete
2026-07-08T22:45:08.376564678Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,sleeping,vllm_sleep_complete
2026-07-08T22:45:10.225041849Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,sleeping,vllm_sleep_complete
