model,trim_ramp_windows,window_end_ms,n_requests,violated,ttft_p95,tpot_p95,e2e_p95,errors
dsllama-8b,1,1783680296873,162,False,53.45375835895538,15.401800493086418,1995.3594282269478,0
dsllama-8b,1,1783680301873,166,False,52.034154534339905,15.864729001296787,2051.900088787079,0
dsllama-8b,1,1783680306873,164,False,51.27711594104767,15.864729001296787,2051.900088787079,0
dsllama-8b,1,1783680311873,169,False,51.348522305488586,15.864729001296787,2051.900088787079,0
dsllama-8b,1,1783680316873,175,False,52.393361926078796,15.864729001296787,2051.900088787079,0
dsllama-8b,1,1783680321873,169,False,52.564993500709534,15.864729001296787,2051.900088787079,0
dsllama-8b,1,1783680326873,163,False,51.81557685136795,15.864729001296787,2051.900088787079,0
dsllama-8b,1,1783680331873,153,False,52.520766854286194,15.277901972372701,1986.3577261567116,0
dsllama-8b,1,1783680336873,166,False,52.564993500709534,15.542368719896933,2012.6118287444115,0
dsllama-8b,1,1783680341873,165,False,53.74646931886673,15.542368719896933,2012.6118287444115,0
dsllama-8b,1,1783680346873,166,False,51.81557685136795,15.723285712595061,2044.4903820753098,0
dsllama-8b,1,1783680351873,171,False,50.91787874698639,15.83176012348941,2046.79773747921,0
dsllama-8b,1,1783680356873,180,False,51.206350326538086,15.83176012348941,2046.79773747921,0
dsllama-8b,1,1783680361873,174,False,51.09081417322159,15.83176012348941,2046.79773747921,0
dsllama-8b,1,1783680366873,168,False,50.83251744508743,15.83176012348941,2046.79773747921,0
dsllama-8b,1,1783680371873,173,False,50.83251744508743,15.843955374608829,2052.133023738861,0
dsllama-8b,1,1783680376873,165,False,50.83251744508743,15.826088178345538,2046.79773747921,0
dsllama-8b,1,1783680381873,169,False,53.505294024944305,16.433240977797922,2134.2978924512863,0
dsllama-8b,1,1783680386873,171,False,83.85463804006577,16.433240977797922,2134.2978924512863,0
dsllama-8b,1,1783680391873,185,False,114.49933797121048,16.376844775958325,2133.7285935878754,0
dsllama-8b,1,1783680396873,177,False,124.62960183620453,16.433240977797922,2134.4387382268906,0
dsllama-8b,1,1783680401873,179,False,124.62960183620453,16.433240977797922,2134.4387382268906,0
dsllama-8b,1,1783680406873,178,False,124.62960183620453,16.433240977797922,2134.4387382268906,0
dsllama-8b,1,1783680411873,168,False,124.62960183620453,15.975135048543374,2082.820735871792,0
dsllama-8b,1,1783680416873,158,False,132.33818113803864,16.007758149011867,2085.0217565894127,0
dsllama-8b,1,1783680421873,145,False,132.33818113803864,16.007758149011867,2082.820735871792,0
dsllama-8b,1,1783680426873,142,False,117.94627457857132,16.007758149011867,2081.17438852787,0
dsllama-8b,1,1783680431873,125,False,119.34852600097656,15.273213562533611,2004.4477730989456,0
dsllama-8b,1,1783680436873,144,False,117.94627457857132,15.807346976178838,2058.432638645172,0
dsllama-8b,1,1783680441873,139,False,139.6157592535019,15.813695340175329,2060.075506567955,0
dsllama-8b,1,1783680446873,147,False,130.63499331474304,15.807346976178838,2059.682585299015,0
dsllama-8b,1,1783680451873,150,False,116.47417396306992,15.807346976178838,2058.432638645172,0
dsllama-8b,1,1783680456873,162,False,113.4684681892395,15.804510358281023,2055.454693734646,0
dsllama-8b,1,1783680461873,188,False,112.52930760383606,16.750528352467093,2178.0246421694756,0
dsllama-8b,1,1783680466873,170,False,126.10763311386108,16.807430372463436,2184.9102526903152,0
dsllama-8b,1,1783680471873,180,False,132.91191309690475,16.807430372463436,2184.9102526903152,0
dsllama-8b,1,1783680476873,178,False,131.4745843410492,16.807430372463436,2184.9102526903152,0
