theta,support,attainment,healthy,violations,scenario_families,max_family_ratio
1.0,164,1.0,164,0,3,0.34146341463414637
1.3333333333333333,176,1.0,176,0,4,0.3465909090909091
1.6666666666666667,181,1.0,181,0,5,0.3370165745856354
2.0,337,1.0,337,0,6,0.32047477744807124
2.6666666666666665,362,1.0,362,0,6,0.32320441988950277
3.0,374,1.0,374,0,6,0.32887700534759357
3.3333333333333335,381,1.0,381,0,6,0.33858267716535434
3.6666666666666665,387,1.0,387,0,6,0.3333333333333333
4.0,659,1.0,659,0,6,0.2473444613050076
4.333333333333334,665,1.0,665,0,6,0.24511278195488723
4.666666666666667,666,1.0,666,0,6,0.24474474474474475
5.333333333333333,680,1.0,680,0,6,0.2426470588235294
6.0,703,1.0,703,0,6,0.25177809388335703
6.333333333333333,721,1.0,721,0,6,0.2524271844660194
6.666666666666667,735,1.0,735,0,6,0.24761904761904763
7.0,749,1.0,749,0,6,0.24833110814419226
7.333333333333333,756,1.0,756,0,6,0.25
7.666666666666667,766,1.0,766,0,6,0.2545691906005222
8.0,987,0.9989868287740629,986,1,6,0.2188449848024316
9.0,988,0.9989878542510121,987,1,6,0.21862348178137653
9.666666666666666,989,0.9989888776541962,988,1,6,0.21941354903943378
10.0,994,0.9989939637826962,993,1,6,0.22132796780684105
10.666666666666666,1009,0.9990089197224975,1008,1,6,0.22101090188305253
12.0,1011,0.9990108803165183,1010,1,6,0.2205736894164194
12.333333333333334,1013,0.9990128331688055,1012,1,6,0.22211253701875616
12.666666666666666,1021,0.9990205680705191,1020,1,6,0.22233104799216455
13.333333333333334,1029,0.9990281827016521,1028,1,6,0.22254616132167152
13.666666666666666,1037,0.9990356798457087,1036,1,6,0.22854387656702024
14.0,1039,0.9990375360923965,1038,1,6,0.22810394610202117
14.333333333333334,1041,0.9990393852065321,1040,1,6,0.2276657060518732
14.666666666666666,1063,0.9990592662276576,1062,1,6,0.22389463781749766
15.0,1076,0.9990706319702602,1075,1,6,0.23327137546468402
15.333333333333334,1094,0.9990859232175503,1093,1,6,0.24588665447897623
16.0,1308,0.9900611620795107,1295,13,6,0.20565749235474007
17.0,1310,0.9900763358778626,1297,13,6,0.20534351145038168
17.333333333333336,1312,0.9900914634146342,1299,13,6,0.20579268292682926
18.0,1313,0.9893373952779894,1299,14,6,0.2063975628332064
19.666666666666668,1314,0.989345509893455,1300,14,6,0.20624048706240486
20.0,1316,0.9893617021276596,1302,14,6,0.2066869300911854
20.333333333333332,1317,0.9893697798025817,1303,14,6,0.20652999240698558
20.666666666666668,1318,0.9893778452200304,1304,14,6,0.20637329286798178
21.333333333333332,1334,0.9857571214392804,1315,19,6,0.20614692653673164
22.333333333333332,1335,0.9857677902621723,1316,19,6,0.20674157303370785
23.0,1341,0.9858314690529456,1322,19,6,0.2058165548098434
