model,trim_ramp_windows,window_end_ms,n_requests,violated,ttft_p95,tpot_p95,e2e_p95,errors
dsllama-8b,1,1783697111274,144,False,48.62102121114731,15.223519304605919,1977.6900112628937,0
dsllama-8b,1,1783697116274,136,False,49.05371367931366,15.190392380624306,1970.2814891934395,0
dsllama-8b,1,1783697121274,149,False,48.62102121114731,15.291045793867486,1979.9428507685661,0
dsllama-8b,1,1783697126274,143,False,49.01006072759628,15.291045793867486,1979.9428507685661,0
dsllama-8b,1,1783697131274,147,False,49.1524338722229,15.291045793867486,1979.9428507685661,0
dsllama-8b,1,1783697136274,153,False,52.14572697877884,15.291045793867486,1979.9428507685661,0
dsllama-8b,1,1783697141274,153,False,52.8511181473732,15.291045793867486,1979.542851448059,0
dsllama-8b,1,1783697146274,149,False,52.8511181473732,15.291045793867486,1979.542851448059,0
dsllama-8b,1,1783697151274,129,False,52.8511181473732,15.119311612422072,1965.1103541254997,0
dsllama-8b,1,1783697156274,133,False,55.78070878982544,15.175318506758982,1974.8208224773407,0
dsllama-8b,1,1783697161274,145,False,55.78070878982544,15.222672578387373,1976.2308597564697,0
dsllama-8b,1,1783697166274,145,False,54.67682331800461,15.22786997434661,1976.7129719257355,0
dsllama-8b,1,1783697171274,137,False,52.07868665456772,15.245905483332207,1980.6745573878288,0
dsllama-8b,1,1783697176274,150,False,51.465801894664764,15.285395085811615,1984.8029986023903,0
dsllama-8b,1,1783697181274,162,False,50.67238211631775,15.274542640513323,1982.5707376003265,0
dsllama-8b,1,1783697186274,161,False,51.505617797374725,15.255495553880227,1980.6745573878288,0
dsllama-8b,1,1783697191274,145,False,48.62382262945175,15.245905483332207,1976.888693869114,0
dsllama-8b,1,1783697196274,146,False,51.505617797374725,15.240395984311743,1976.7326787114143,0
dsllama-8b,1,1783697201274,153,False,50.62037706375122,15.344562375639367,1989.194393157959,0
dsllama-8b,1,1783697206274,148,False,50.62037706375122,15.327285593888892,1987.3101860284805,0
dsllama-8b,1,1783697211274,153,False,53.11964452266693,16.070381921576704,2087.523989379406,0
dsllama-8b,1,1783697216274,150,False,52.710697054862976,16.070381921576704,2087.523989379406,0
dsllama-8b,1,1783697221274,160,False,52.710697054862976,16.070381921576704,2087.523989379406,0
dsllama-8b,1,1783697226274,160,False,51.720790565013885,16.070381921576704,2087.523989379406,0
dsllama-8b,1,1783697231274,155,False,51.720790565013885,16.070381921576704,2087.523989379406,0
dsllama-8b,1,1783697236274,160,False,53.13798785209656,16.070381921576704,2087.523989379406,0
dsllama-8b,1,1783697241274,149,False,51.59500986337662,15.322517926298728,1983.9155077934265,0
dsllama-8b,1,1783697246274,150,False,51.59500986337662,15.322517926298728,1983.9155077934265,0
dsllama-8b,1,1783697251274,142,False,50.779715180397034,15.299019381755919,1983.6186692118645,0
dsllama-8b,1,1783697256274,150,False,50.18867552280426,15.31967368182235,1983.6186692118645,0
dsllama-8b,1,1783697261274,164,False,53.974613547325134,17.127901081025133,2221.0036292672157,0
dsllama-8b,1,1783697266274,183,False,53.974613547325134,17.38433885996736,2257.1736946702003,0
dsllama-8b,1,1783697271274,200,False,54.003484547138214,17.38433885996736,2257.1736946702003,0
dsllama-8b,1,1783697276274,230,False,55.943720042705536,17.429445261561025,2261.52690500021,0
dsllama-8b,1,1783697281274,267,False,56.48256093263626,17.70314803038995,2297.4207624793053,0
dsllama-8b,1,1783697286274,273,False,58.15894156694412,17.70314803038995,2297.4207624793053,0
dsllama-8b,1,1783697291274,282,False,58.15894156694412,17.69728166615869,2293.2631745934486,0
dsllama-8b,1,1783697296274,277,False,59.3353733420372,17.70314803038995,2294.2595332860947,0
dsllama-8b,1,1783697301274,281,False,59.3353733420372,17.69728166615869,2293.2631745934486,0
dsllama-8b,1,1783697306274,273,False,59.28519368171692,17.66526663866569,2290.6918600201607,0
dsllama-8b,1,1783697311274,271,False,56.702613830566406,17.52103301953143,2268.057219684124,0
dsllama-8b,1,1783697316274,285,False,56.702613830566406,17.581555141708044,2277.1184220910072,0
dsllama-8b,1,1783697321274,278,False,56.365832686424255,17.58474498752534,2277.4955555796623,0
dsllama-8b,1,1783697326274,289,False,57.13280290365219,17.582856177345036,2277.4955555796623,0
dsllama-8b,1,1783697331274,288,False,57.13280290365219,17.582856177345036,2277.4955555796623,0
dsllama-8b,1,1783697336274,289,False,57.4386790394783,17.582856177345036,2277.4955555796623,0
dsllama-8b,1,1783697341274,276,False,57.4386790394783,17.49811192431788,2266.7600959539413,0
dsllama-8b,1,1783697346274,269,False,57.13280290365219,17.283677761479627,2247.72559851408,0
dsllama-8b,1,1783697351274,281,False,58.116018772125244,17.497969659294668,2265.3864473104477,0
dsllama-8b,1,1783697356274,277,False,57.61787295341492,17.634147147494037,2281.5612852573395,0
dsllama-8b,1,1783697361274,279,False,59.243343770504,17.634147147494037,2281.5612852573395,0
dsllama-8b,1,1783697366274,285,False,59.243343770504,17.61549423764071,2281.3770547509193,0
dsllama-8b,1,1783697371274,285,False,59.243343770504,17.61549423764071,2281.3770547509193,0
dsllama-8b,1,1783697376274,283,False,58.46098065376282,17.61549423764071,2281.3770547509193,0
dsllama-8b,1,1783697381274,271,False,57.287104427814484,17.588094991492476,2277.938589453697,0
dsllama-8b,1,1783697386274,271,False,56.176528334617615,17.27033517961427,2235.740728676319,0
dsllama-8b,1,1783697391274,264,False,54.118894040584564,17.24457940248054,2231.8742722272873,0
